step,loss,mig,sap,hsic,max_corr,quasi_ok
100,887.4452514648438,0.04784459749279248,0.0,0.051284849643707275,0.9999790787696838,False
200,967.3855590820312,0.07508866983558726,0.0,0.10361539572477341,0.9998040199279785,False
300,913.5719604492188,0.05221928104246938,0.0024999999999999996,0.11192785203456879,0.9996031522750854,False
400,872.8546142578125,0.055338830955129814,0.0,0.0919644683599472,0.9998239874839783,False
500,826.9464111328125,0.04945933990444098,0.0013157894736842088,0.11218035966157913,0.9995590448379517,False
600,894.8489990234375,0.049584459972459506,0.0013157894736842118,0.10790285468101501,0.9995256662368774,False
700,844.123779296875,0.032166350733181304,0.0012820512820512831,0.12039210647344589,0.9998829960823059,False
800,809.2191772460938,0.04123647040903473,0.0012500000000000011,0.12825225293636322,0.9997820854187012,False
900,854.5276489257812,0.037949606332999694,0.0,0.11449763178825378,0.9999340772628784,False
1000,845.2091064453125,0.054631670139720145,0.0024999999999999996,0.12581616640090942,0.9999173879623413,False
1100,885.6644287109375,0.06512625096519051,0.0026315789473684206,0.11954966932535172,0.9999082684516907,False
1200,925.87646484375,0.04471359521940007,0.0013157894736842088,0.14070367813110352,0.9999472498893738,False
1300,804.7437744140625,0.06126051013476963,0.0025641025641025637,0.1280590444803238,0.999938428401947,False
1400,759.4979858398438,0.0743499245342621,0.007894736842105265,0.126116544008255,0.9999387264251709,False
1500,709.2774047851562,0.06564214785139152,0.0025641025641025637,0.1496739536523819,0.9999369382858276,False
1600,852.3211669921875,0.050950510638096594,0.003846153846153841,0.13011711835861206,0.999940037727356,False
1700,907.2718505859375,0.04805992797041692,0.0038461538461538438,0.12279760092496872,0.9998992681503296,False
1800,821.1741943359375,0.03937246390469196,0.0,0.12752731144428253,0.9999294281005859,False
1900,746.3595581054688,0.040041150594200235,0.0012499999999999983,0.14738653600215912,0.9999532103538513,False
2000,839.463134765625,0.038606261233948724,0.0,0.13325423002243042,0.9999372959136963,False
2100,833.9422607421875,0.04168793271306844,0.0013157894736842088,0.14001990854740143,0.9998791217803955,False
2200,800.176025390625,0.03726482390667274,0.003947368421052633,0.14554892480373383,0.9998634457588196,False
2300,782.4730224609375,0.043825685381200775,0.003846153846153847,0.1385972797870636,0.9998038411140442,False
2400,747.768798828125,0.03952590920002597,0.007142857142857146,0.12688420712947845,0.9997311234474182,False
2500,878.7882690429688,0.07060081862334622,0.0,0.13089893758296967,0.9995815753936768,False
2600,729.5777587890625,0.03810100661928977,0.0,0.14140646159648895,0.9986913204193115,False
